2.009,2.210,4
2.513,0.555,4
2.925,0.453,4
3.291,0.402,4
3.631,0.374,4
3.952,0.354,4
4.263,0.342,4
4.568,0.334,4
4.866,0.328,4
5.163,0.326,4
5.458,0.325,4
5.753,0.325,4
6.049,0.326,4
6.346,0.326,4
6.643,0.327,4
6.943,0.330,4
7.245,0.332,4
7.552,0.337,4
7.861,0.340,4
8.172,0.343,4
8.488,0.348,4
8.808,0.352,4
9.134,0.358,4
9.462,0.361,4
9.794,0.365,4
10.131,0.370,4
10.470,0.373,4
10.811,0.375,4
11.157,0.380,4
11.505,0.384,4
11.860,0.391,4
12.221,0.396,4
12.582,0.398,4
12.946,0.400,4
13.312,0.402,4
13.676,0.402,4
14.041,0.400,4
14.407,0.403,4
14.773,0.402,4
15.140,0.404,4
15.505,0.401,4
15.866,0.398,4
16.226,0.396,4
16.586,0.396,4
16.954,0.405,4
17.335,0.419,4
17.725,0.430,4
18.127,0.442,4
18.529,0.442,4
18.933,0.445,4
19.340,0.448,4
19.739,0.439,4
20.140,0.440,4
20.539,0.440,4
20.945,0.447,4
21.353,0.448,4
21.758,0.445,4
22.163,0.446,4
22.567,0.444,4
22.978,0.452,4
23.388,0.451,4
23.808,0.461,4
24.225,0.459,4
24.643,0.460,4
25.065,0.464,4
25.494,0.472,4
25.926,0.475,4
26.374,0.492,4
26.822,0.494,4
27.253,0.475,4
27.674,0.463,4
28.065,0.431,4
28.436,0.408,4
28.788,0.387,4
29.126,0.372,4
29.454,0.360,4
29.773,0.352,4
30.088,0.346,4
30.399,0.342,4
30.709,0.341,4
31.015,0.337,4
31.321,0.335,4
31.622,0.331,4
31.921,0.329,4
32.221,0.329,4
32.521,0.330,4
32.820,0.329,4
33.118,0.328,4
33.416,0.327,4
33.713,0.327,4
34.011,0.327,4
34.308,0.326,4
34.603,0.325,4
34.897,0.324,4
35.195,0.328,4
35.495,0.330,4
35.796,0.331,4
36.109,0.343,4
36.436,0.360,4
36.780,0.378,4
37.133,0.388,4
37.486,0.388,4
37.842,0.392,4
38.198,0.391,4
38.557,0.396,4
38.923,0.402,4
39.289,0.403,4
39.665,0.414,4
40.049,0.422,4
40.438,0.428,4
40.833,0.433,4
41.232,0.439,4
41.635,0.444,4
42.053,0.460,4
42.483,0.474,4
42.915,0.475,4
43.360,0.489,4
43.826,0.512,4
44.304,0.527,4
44.798,0.544,4
45.318,0.571,4
45.850,0.585,4
46.379,0.582,4
46.912,0.587,4
47.409,0.546,4
47.864,0.501,4
48.273,0.450,4
48.644,0.408,4
48.985,0.375,4
49.304,0.352,4
49.612,0.339,4
49.912,0.331,4
50.207,0.324,4
50.498,0.321,4
50.789,0.319,4
51.076,0.316,4
51.358,0.311,4
51.640,0.310,4
51.922,0.311,4
52.205,0.311,4
52.491,0.315,4
52.777,0.316,4
53.066,0.317,4
53.353,0.315,4
53.638,0.314,4
53.923,0.314,4
54.210,0.315,4
54.501,0.320,4
54.803,0.332,4
55.117,0.346,4
55.444,0.359,4
55.789,0.379,4
56.157,0.405,4
56.543,0.424,4
56.940,0.437,4
57.354,0.456,4
57.788,0.477,4
58.249,0.506,4
58.729,0.528,4
59.230,0.551,4
59.750,0.571,4
60.274,0.577,4
60.794,0.573,4
61.300,0.556,4
61.763,0.510,4
62.167,0.443,4
62.526,0.396,4
62.856,0.363,4
63.168,0.344,4
63.470,0.332,4
63.764,0.322,4
64.051,0.315,4
64.331,0.310,4
64.608,0.304,4
64.880,0.300,4
65.149,0.296,4
65.417,0.294,4
65.682,0.292,4
65.947,0.292,4
66.211,0.290,4
66.473,0.288,4
66.736,0.289,4
66.998,0.288,4
67.259,0.288,4
67.521,0.287,4
67.782,0.288,4
68.043,0.288,4
68.306,0.289,4
68.572,0.292,4
68.837,0.292,4
69.105,0.295,4
69.374,0.296,4
69.644,0.296,4
69.915,0.298,4
70.189,0.302,4
70.464,0.302,4
70.738,0.302,4
71.015,0.304,4
71.297,0.310,4
71.585,0.318,4
71.884,0.328,4
72.192,0.338,4
72.502,0.342,4
72.816,0.345,4
73.132,0.348,4
73.444,0.343,4
73.753,0.340,4
74.062,0.340,4
74.372,0.340,4
74.680,0.339,4
74.988,0.339,4
75.298,0.341,4
75.606,0.339,4
